Method,nSNP_Brain,Min_F_Brain,Beta_Brain,SE_Brain,P_Brain,OR_Brain,Gene
IVW,2,19.177804808792217,-0.14802260715977295,0.06264321491771052,0.018130254125191092,0.8624116180444223,BAALC
Wald ratio,1,25.241284631675807,0.012486278238428343,0.17229531577030172,0.9422277096779506,1.0125645572758768,DNAJA1
Wald ratio,1,76.4018781793066,-0.10854799091430578,0.05658555240138429,0.05507314874030933,0.8971358394146551,NUDT2
Wald ratio,1,21.014885943446064,0.04733354337046048,0.08276274717972205,0.5673772134629567,1.0484716615361056,EXOSC3
Wald ratio,1,25.255732191410285,-0.024304024083492106,0.1595156297663161,0.8789019028375087,0.9759889405045598,CORO2A
Wald ratio,1,121.24985764143553,-0.0475644990364783,0.04749687634669435,0.31662199676628355,0.9535489681594608,DBH
Wald ratio,1,39.99423931375681,0.02855821959785337,0.07308719216810645,0.6959881127556309,1.0289699153053722,DBH-AS1
Wald ratio,1,52.804639527288664,0.21011452731825458,0.09675334893203619,0.02988198121174701,1.2338193578876218,MAN1B1
Wald ratio,1,62.143476152600684,0.13059477320516671,0.06578158162988935,0.04711347190212867,1.13950592940546,NSUN6
Wald ratio,1,22.594070149193186,0.0256503563470286,0.09979668882709342,0.7971586045446346,1.0259821576031543,OTUD1
IVW,2,17.996710197561328,0.09835859049350879,0.06336174615934091,0.12058233553816455,1.1033583679998349,SLC25A16
Wald ratio,1,64.57462003777457,-0.14825417571747201,0.06962024981545617,0.03321546282474963,0.8622119337510831,SAR1A
Wald ratio,1,26.921611999724384,0.042252245008506065,0.13583042039424126,0.7557503389475706,1.0431575768586239,LRRC20
Wald ratio,1,17.093957140441262,0.028328130962748416,0.09568597904048064,0.7671895280944205,1.0287331882571416,BMS1P4
Wald ratio,1,20.06680347387614,-0.11406820229896306,0.06250667710537798,0.06801668324741827,0.8921971039136948,ZNF503-AS2
Wald ratio,1,33.699467182059465,0.017359839266887257,0.11998952317169401,0.8849651425188731,1.0175113970124174,DNMBP
Wald ratio,1,30.86411194444044,0.31329420622012955,0.1251342481479787,0.012291443963621251,1.367923923558485,MRPL43
Wald ratio,1,26.416236204701583,-0.04082278711235688,0.31592310482408414,0.8971855660445633,0.9599992391118839,POLL
Wald ratio,1,35.138048825604066,-0.07118531531611465,0.07324493302693415,0.33111004816118195,0.9312892939656392,ZDHHC6
Wald ratio,1,102.69319645037083,-0.15506331891477274,0.06097715481794261,0.01099134094960652,0.8563609519207503,SIGIRR
Wald ratio,1,30.475376225690876,-0.3778851596918559,0.2624713883715779,0.1499467917564241,0.6853091972664009,CHID1
Wald ratio,1,21.934118974414588,-0.245547973765152,0.1403956811592781,0.08029603374768923,0.7822757541809838,SVIP
IVW,2,26.745588195691678,-0.024334636183828525,0.05466679653649339,0.6562151682449457,0.975959063890481,ACCS
Wald ratio,1,17.25917716907746,-0.3839579374756296,0.1713094714951507,0.025005886064625837,0.6811600778893586,ACP2
Wald ratio,1,351.7410740934662,0.0006339227223400337,0.030359407823342593,0.9833409003334896,1.0006341236938134,CD6
IVW,2,17.654095477396474,0.051994443640191366,0.0685634089629406,0.44824687264309215,1.0533698895949861,CDCA5
