Method,nSNP,Min_F,Beta,SE,P,OR,Gene
IVW,3,47.46658816000001,0.7987821369169601,0.3111751074748599,0.0102586761343552,2.222832174136628,NCKAP1L
Wald ratio,1,39.85649424,-5.436088196160426,2.119018215801812,0.0103062689424051,0.0043564917232351,ZNF383
IVW,2,46.42514496,0.6113905567804566,0.2385304710927091,0.0103725746373257,1.842992403340632,PTPRN
Wald ratio,1,244.84425625000003,0.7712123725834797,0.3010375587154497,0.0104116969441663,2.162386283082653,RP11-134G8.7
Wald ratio,1,213.76486849,0.8253739971410398,0.3221791843071809,0.0104116969441663,2.2827343418193644,RPS10P7
Wald ratio,1,262.89055320999995,-0.9514759188104036,0.371546278193402,0.0104415107833419,0.3861706461220864,FAM96A
Wald ratio,1,24.880144000000005,2.4237012429831597,0.948010585404972,0.0105695114822199,11.287560097519613,DPYSL3
Wald ratio,1,196.31092321000003,0.8651403958290212,0.3384504000399683,0.0105828132585532,2.375339550333438,C14orf183
IVW,2,23.77635121,-0.9507574177990882,0.3723185352963482,0.0106611706572798,0.3864482098248251,RP11-424I19.2
Wald ratio,1,54.06955024000001,1.6735611706467932,0.6557764782679648,0.0107097331925729,5.331119057519127,FOSB
IVW,4,21.88742656,-1.3487112846500542,0.5284923292647525,0.0107107181670509,0.2595745629130743,TUBB
Wald ratio,1,590.97123801,0.494180848131831,0.193724984471347,0.0107432761550836,1.6391549721047214,SHD
Wald ratio,1,151.92781081,1.267928865234993,0.4971895439683917,0.0107663566042111,3.553485188865832,ADCK4
IVW,4,26.857269760000005,0.4082697291878665,0.1601675791567467,0.0108027329961086,1.5042128365631895,PLOD1
IVW,5,25.01800324,-0.837165592532785,0.328593506709704,0.0108428189821148,0.4329359027521364,FLOT1
IVW,2,21.913633439999995,-0.9059329873812392,0.3557981884702359,0.0108903089562428,0.4041646286441585,RP11-793H13.11
Wald ratio,1,308.26580625,-1.411296938630215,0.5544252655560301,0.0109117178087292,0.2438268495400511,AC008592.4
Wald ratio,1,271.7750073600001,0.9501625661183092,0.3739407968166156,0.0110553674000366,2.5861300422673223,IDH3B
Wald ratio,1,126.58725120999998,-1.188086835953818,0.4680530970305126,0.0111373641292771,0.3048038463612533,RP11-81K2.1
Wald ratio,1,171.18058896000005,-1.0468621938915894,0.4125361827020086,0.0111607454340896,0.3510375104344406,RP11-552F3.10
Wald ratio,1,39.98285824,-2.186453789220648,0.862353586791498,0.0112303186776818,0.1123143335409806,FAM178B
Wald ratio,1,309.65440900000004,-0.7095409558447461,0.2802066147638801,0.0113347280707747,0.4918699356642115,ADD1
IVW,2,51.67740769000001,-0.3604613230073288,0.1423828424926785,0.0113532250718642,0.6973545461580911,GUF1
IVW,5,22.953681000000003,-0.2462280810858632,0.097409699698963,0.0114793670180557,0.7817439035919904,MCTP1
Wald ratio,1,113.806224,1.261116985376828,0.4989889951256093,0.0114928776113645,3.5293615316902205,FAM193A
Wald ratio,1,50.04713536,-2.3819527027027028,0.9425591145538844,0.0115004732610461,0.0923700300825968,TATDN1
